id,x,y,prob0,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,type
81,0.083999425,0.5320261,0.0,0.021136561,0.0,0.0,0.0,0.0,0.0,0.0,0.8160249,0.15133668,8
82,0.35024682,0.4148605,0.0,0.0,0.0,0.0,0.0,0.0,0.7698673,0.22400405,0.0,0.0,6
83,0.30392808,0.11907029,0.0,0.0,0.0,0.9415272,0.0,0.0,0.0,0.0,0.05168087,0.0,3
84,0.54761374,0.5033828,0.0,0.4698078,0.0,0.0,0.0,0.0,0.24165493,0.2841309,0.0,0.0,1
85,0.14956287,0.2766126,0.0,0.0,0.0,0.07479838,0.0,0.0,0.9177161,0.0,0.0,0.0,6
86,0.77564734,0.43388087,0.0,0.0,0.0,0.0,0.0,0.37646928,0.0,0.615595,0.0,0.0,7
87,0.35593113,0.29047352,0.0,0.0,0.0,0.69056636,0.0,0.0,0.28988793,0.0,0.0,0.0,3
88,0.6407345,0.37619838,0.0,0.0,0.0,0.0,0.0,0.68132484,0.0,0.30986875,0.0,0.0,5
89,0.6910671,0.14061567,0.10194396,0.0,0.8594393,0.0,0.032515988,0.0,0.0,0.0,0.0,0.0,2
90,0.40443924,0.15344582,0.0,0.0,0.0,0.76494944,0.0,0.22824915,0.0,0.0,0.0,0.0,3
91,0.87591785,0.39037368,0.0,0.0,0.15932241,0.0775608,0.0,0.0,0.033346307,0.7265559,0.0,0.0,7
92,0.622744,0.811473,0.0,0.0,0.0,0.0,0.5401591,0.0,0.0,0.45241874,0.0,0.0,4
93,0.35926393,0.4159653,0.0,0.0,0.0,0.0,0.0,0.0,0.6696495,0.32102078,0.0,0.0,6
94,0.7977708,0.7037256,0.0,0.0,0.0,0.0,0.20371921,0.0,0.0,0.7902892,0.0,0.0,7
95,0.7057532,0.56464946,0.0,0.0,0.0,0.0,0.0,0.0,0.21170452,0.7815904,0.0,0.0,7
96,0.51051515,0.2395176,0.0,0.0,0.2526972,0.42330968,0.0,0.0,0.0,0.3109609,0.0,0.0,3
97,0.7255425,0.32313278,0.0,0.0,0.44590852,0.035148628,0.0,0.17955668,0.0,0.33464938,0.0,0.0,2
